Data,CAMBIOREAL,CDS_5_ANOS,PASSEXTERNO,TOTL,VIXFINAL,DIVBRUTA,SWAPREAL,D0804,crb
2002Q1,109.846666667,793.73,0.505,87.22,20.03,0.678366666666666,0.15,0,212.733333333333
2002Q2,114.326666667,1132.253,0.473,88.3333333333333,22.43,0.700466666666666,0.170659587519542,0,218.176666666666
2002Q3,143.846666667,2847.31,0.408,84.8199999999999,34.79,0.777133333333333,0.165658530986603,0,233.423333333333
2002Q4,162.663333333,2957.64,0.454,82.8566666666666,29.09,0.7696,0.148372544589186,0,238.3
2003Q1,154.133333333,1684.353,0.454,83.03,29.98,0.7714,0.13795283209845,0,248.193333333333
2003Q2,133.816666667,977.6433,0.482,84.7766666666666,20.07,0.731333333333333,0.131733669898328,0,248.703333333333
2003Q3,130.553333333,818.1333,0.475,85.19,20.28,0.743766666666666,0.117328687325353,0,251.46
2003Q4,130.953333333,551.6167,0.487,86,16.91,0.727399999999999,0.0918453917329289,0,274.6
2004Q1,134.723333333,515.2567,0.464,86.24,15.97,0.718633333333333,0.0884827067984641,0,292.083333333333
2004Q2,140.59,734.42,0.409,87.2733333333333,15.68,0.708733333333333,0.0981238255072387,0,303.36
2004Q3,135.876666667,551.1367,0.42,86.6133333333333,14.65,0.690266666666666,0.0975488326244967,0,292.876666666666
2004Q4,128.97,381.8267,0.444,84.6733333333333,14.27,0.681066666666666,0.10605381929862,0,296.066666666666
2005Q1,123.123333333,353.2433,0.411,85.92,12.97,0.6815,0.111749376730135,0,292.89
2005Q2,112.75,376.2333,0.401,86.7366666666666,13.55,0.676,0.113438201448304,0,298.88
2005Q3,105.743333333,319.4733,0.422,87.19,12.03,0.673666666666666,0.115810226367736,0,292.85
2005Q4,99.6633333333,263.49,0.355,87.6033333333333,13.15,0.6712,0.112439948826366,0,295.58
2006Q1,97.1366666667,154.9633,0.374,88.99,12.23,0.667966666666666,0.1092068608219,0,308.24
2006Q2,98.9333333333,163.08,0.344,89.19,13.7,0.640833333333333,0.100864424526875,0,324.056666666666
2006Q3,99.4866666667,137.6567,0.32,93.1333333333333,13.08,0.6385,0.0863046033718933,0,339.31
2006Q4,98.5433333333,109.94,0.335,94.7,11.19,0.644,0.0812735413481159,0,351.903333333333
2007Q1,96.6133333333,93.38333,0.325,95.5266666666666,13.49,0.6427,0.0764002839057872,0,365.156666666666
2007Q2,92.4033333333,69.6,0.354,93.4833333333333,14.5,0.639766666666666,0.0741383558694972,0,392.826666666666
2007Q3,90.3366666667,99.87333,0.389,94.16,21.63,0.624266666666666,0.0694472776495666,0,407.356666666666
2007Q4,86.34,95.59667,0.392,96.1433333333333,21.3,0.6297,0.0695864747076158,0,415.883333333333
2008Q1,85.9566666667,148.8167,0.361,95.3433333333333,26.12,0.617066666666666,0.0708706702829658,0,436.333333333333
2008Q2,84.0666666667,110.5333,0.409,96.1833333333333,20.86,0.6041,0.0762971436918329,0,458.733333333333
2008Q3,83.0733333333,138.96,0.25,101.416666666666,27.66,0.582,0.0811211993975229,0,458.396666666666
2008Q4,102.696666667,350.9233,0.169,99.3233333333333,51.72,0.592666666666666,0.0651167149078442,1,359.25
2009Q1,99.4233333333,357.28,0.197,91.1466666666666,45.11,0.594766666666666,0.0486519830486692,0,315.906666666666
2009Q2,90.89,229.2667,0.289,93.16,30.59,0.598366666666666,0.0446878546662822,0,341.623333333333
2009Q3,83.79,139.65,0.354,95.55,25.85,0.625,0.0464947893019371,0,371.6
2009Q4,79.43,124.2,0.366,100.69,25.63,0.633533333333333,0.0503351086954443,0,391.986666666666
2010Q1,79.9566666667,129.3167,0.323,104.813333333333,20.57,0.622633333333333,0.0528844820756742,0,421.38
2010Q2,77.08,131.0533,0.275,106.726666666666,29.55,0.645433333333333,0.0574277394469989,0,433.653333333333
2010Q3,76.2766666667,121.83,0.32,114.186666666666,24.42,0.6261,0.0519295404703234,0,437.506666666666
2010Q4,74.8866666667,105.5633,0.411,117.523333333333,20.83,0.623,0.0541513184134265,0,487.083333333333
2011Q1,74.21,114.03,0.426,117.973333333333,18.54,0.601833333333333,0.0571989704323378,0,546.853333333333
2011Q2,72.67,108.12,0.302,118.943333333333,15.57,0.6084,0.0599279936650159,0,569.796666666666
2011Q3,74.4366666667,144.51,0.302,120.92,33.28,0.592333333333333,0.0458938044991481,0,549.543333333333
2011Q4,78.5566666667,163.6533,0.314,118.516666666666,27.05,0.602533333333333,0.0367115982417003,0,501.263333333333
2012Q1,77.0666666667,139.5767,0.35,112.176666666666,17.79,0.602066666666666,0.0304846102761635,0,494.823333333333
2012Q2,84.5433333333,143.47,0.292,113.29,19.43,0.616433333333333,0.0180571528243161,0,486.973333333333
2012Q3,86.8133333333,128.8767,0.311,113.76,17.38,0.5953,0.0146958982539553,0,482.37
2012Q4,87.9433333333,108.0767,0.323,111.346666666666,17.5,0.606666666666666,0.0138037607384613,0,485.646666666666
2013Q1,84.1833333333,120.8567,0.339,111.626666666666,14.16,0.5917,0.0187239229758825,0,484.44
2013Q2,85.9366666667,139.4333,0.297,109.49,15.56,0.584133333333333,0.0269532088140818,0,477.02
2013Q3,95.4333333333,185.99,0.31,108.11,15.69,0.577666666666666,0.0337800804286225,0,469.676666666666
2013Q4,94.0166666667,182.57,0.293,109.063333333333,13.72,0.588533333333333,0.0373906313404817,0,462.66
2014Q1,94,185.4467,0.317,108.226666666666,15.43,0.577633333333333,0.0425033996241207,0,464.293333333333
2014Q2,87.1933333333,148.8533,0.346,106.906666666666,12.13,0.5814,0.0402540191139171,0,497.673333333333
2014Q3,88.6166666667,145.84,0.333,106.07,15.08,0.5801,0.0436742328515259,0,489.566666666666
2014Q4,94.8333333333,172.96,0.288,102.303333333333,15.52,0.592933333333333,0.0488393427696027,0,462.326666666666
2015Q1,99.68,244.667,0.255,97.4933333333333,16.53,0.617,0.0521113985172739,0,427.583333333333
2015Q2,104.313333333,243.2423,0.302,93.1833333333333,15.54,0.645533333333333,0.0626788428250096,0,419.333333333333
2015Q3,118.48,353.1457,0.204,92.5533333333333,21.37,0.676366666666666,0.0731325416483316,0,416
2015Q4,123.846666667,443,0.209,90.8133333333333,16.47,0.696333333333333,0.0685282916158008,0,396.333333333333
2016Q1,118.436666667,453.3333,0.26,88.1366666666666,18,0.7154,0.0547184171149993,0,380.333333333333
2016Q2,107.85,346,0.312,94.5433333333333,15.04,0.721633333333333,0.0592161173291169,0,406.333333333333
2016Q3,98.9466666667,277.3333,0.33,98.7966666666666,13.39,0.731466666666666,0.0672908915934657,0,414.826666666666
2016Q4,97.4633333333,280.3333,0.324,101.676666666666,14.67,0.753566666666666,0.0639371043378645,0,430.42
2017Q1,92.19,233,0.343,105.79,12.43,0.780533333333333,0.0493941177189126,0,458.836666666666
2017Q2,96.0166666667,231.3333,0.308,99.9966666666666,10.89,0.7977,0.0404083096373177,0,466.06
2017Q3,97.4333333333,200,0.347,98.81,10.5,0.8053,0.0325823060078545,0,446.543333333333
2017Q4,99.67,163.6667,0.321,100.563333333333,9.8,0.819133333333333,0.0330374237002939,0,429.333333333333
2018Q1,101.346666667,152.3333,0.37,101.28,20,0.826366666666666,0.0259262977696525,0,438.666666666666
2018Q2,109.156666667,222.3333,0.262,99.4666666666666,12,0.847133333333333,0.0299515733126236,0,442.333333333333
2018Q3,113.986666667,253.6667,0.271,99.9333333333333,21,0.843966666666666,0.0341557839558753,0,426
2018Q4,107.51,191.6667,0.331,99.3933333333333,16,0.840433333333333,0.0258612527068718,0,414.666666666666
2019Q1,106.526666667,165.6667,0.339,98.6633333333333,13,0.841833333333333,0.0262024090004246,0,414
2019Q2,109.12,165.6667,0.371,100.426666666666,13,0.842966666666666,0.0223862189981964,0,420.666666666666
2019Q3,110.06,137,0.341,101.93,16,0.850766666666666,0.016,0,399
2019Q4,112.47,120,0.419,99.5866666666666,18,0.862333333333333,0.01,0,388
2020Q1,120.77,166,0.239,100.266666666666,27,0.863499999999999,0.0056,0,381.333333333333
2020Q2,143.49,300,0.261,96.6533333333333,20,0.8819,-0.003875969,0,359.333333333333
2020Q3,148.15,200,0.26,98.7166666666666,18,0.894333333333333,-0.004365939,0,393.333333333333
2020q4,147.9,174,0.383,107.563333333333,27,0.9408,-0.001572955,0,443
2021q1,149.35,194,0.315,116.8,25,0.961066666666666,0.0017,0,506
2021q2,143.97,174,0.399,116.546666666666,16.6,0.9203,0.0193,0,562
2021q3,140,183,0.304,117,19,0.910433333333333,0.036,0,571
2021q4,144.6,233,0.367,106,17.3,0.894,0.0628,0,578
2022q1,134.6,216,0.512,106.81,24.6,0.891533333333333,0.0706,0,634
2022q2,121.94,250,0.401,105.3,24,0.881033333333333,0.077,0,596
2022q3,129.8,273,0.395,108.15,22.2,0.859433333333333,0.077,0,559
2022q4,128,259,0.402,106,20.6,0.8483,0.0769,0,554
2023q1,129,225,0.396,105.8,20.3,0.830833333333333,0.0713,0,550
2023q2,120.88,200,0.43,108,20.3,0.8437,0.0679,0,547
2023q3,120,175,0.43,107.7,20.3,0.84,0.065,0,550
